city_code,city_name,population,lat,lng,public_gestion,price
31419, Le Pin-Murelet ,188,43.4,1.016667,1,1.424
31420, Pinsaguel ,2627,43.516667,1.383333,1,1.366
31422, Plagne ,94,43.15,1.05,1,0
31423, Plagnole ,275,43.416667,1.066667,1,1.424
31424, Plaisance-du-Touch ,16314,43.566667,1.3,1,0.953
31425, Le Plan ,458,43.166667,1.116667,1,1.3
31426, Pointis-de-Rivière ,868,43.083333,0.616667,1,0
31427, Pointis-Inard ,819,43.083333,0.816667,1,1.197
31429, Pompertuzat ,1975,43.5,1.516667,1,1.532
31430, Ponlat-Taillebourg ,579,43.1,0.583333,0,1.342
31431, Portet-d'Aspet ,74,42.933333,0.866667,1,0
31432, Portet-de-Luchon ,28,42.8,0.5,1,0
31433, Portet-sur-Garonne ,9891,43.516667,1.416667,1,1.398
31434, Poubeau ,73,42.816667,0.5,1,0
31435, Poucharramet ,846,43.416667,1.183333,1,1.424
31436, Pouy-de-Touges ,353,43.35,1.033333,1,1.424
31437, Pouze ,99,43.433333,1.533333,1,1.532
31438, Pradère-les-Bourguets ,242,43.65,1.166667,1,1.413
31439, Préserville ,615,43.516667,1.616667,1,1.325
31440, Proupiary ,69,43.15,0.866667,0,1.342
31441, Prunet ,151,43.566667,1.733333,1,1.325
31442, Puydaniel ,393,43.333333,1.433333,1,0
31443, Puymaurin ,303,43.366667,0.766667,0,1.342
31444, Puysségur ,109,43.75,1.066667,1,1.413
31446, Ramonville-Saint-Agne ,11870,43.55,1.466667,1,1.532
31447, Razecueillé ,32,42.966667,0.8,1,0
31448, Rebigue ,520,43.483333,1.483333,1,1.532
31449, Régades ,132,43.05,0.716667,1,1.112
31450, Renneville ,480,43.383333,1.716667,1,0
31451, Revel ,9543,43.466667,2,0,0
31452, Rieucazé ,48,43.083333,0.75,1,1.112
31453, Rieumajou ,128,43.416667,1.783333,1,1.325
31454, Rieumes ,3339,43.416667,1.116667,1,1.424
31455, Rieux ,2458,43.25,1.2,1,1.3
31456, Riolas ,52,43.35,0.916667,0,1.342
31457, Roquefort-sur-Garonne ,787,43.166667,0.966667,1,0
31458, Roques ,3761,43.508333,1.375,1,1.398
31459, Roquesérière ,689,43.733333,1.633333,0,1.726
31460, Roquettes ,3560,43.5,1.35,1,1.366
31461, Rouède ,290,43.05,0.9,1,1.197
31462, Rouffiac-Tolosan ,1741,43.666667,1.516667,0,1.115
31463, Roumens ,238,43.466667,1.933333,1,1.325
31464, Sabonnères ,288,43.466667,1.066667,1,1.424
31465, Saccourvielle ,13,42.816667,0.566667,1,0.633
31466, Saiguède ,696,43.533333,1.15,1,1.424
31467, Saint-Alban ,5664,43.7,1.416667,0,1.115
31469, Saint-Araille ,147,43.35,0.983333,0,1.342
31470, Saint-Aventin ,97,42.816667,0.55,1,0
31471, Saint-Béat ,398,42.916667,0.7,1,1.224
31472, Saint-Bertrand-de-Comminges ,261,43.016667,0.583333,0,1.342
31473, Saint-Cézert ,346,43.783333,1.216667,1,1.413
31474, Saint-Christaud ,263,43.183333,1.133333,1,1.3
31475, Saint-Clar-de-Rivière ,1233,43.466667,1.216667,1,1.424
31476, Saint-Élix-le-Château ,699,43.266667,1.133333,1,1.424
31477, Saint-Élix-Séglan ,42,43.2,0.866667,0,1.342
31478, Saint-Félix-Lauragais ,1390,43.45,1.9,1,1.325
31479, Saint-Ferréol ,58,43.333333,0.733333,0,1.342
31480, Sainte-Foy-d'Aigrefeuille ,2008,43.55,1.616667,1,1.325
31481, Sainte-Foy-de-Peyrolières ,2001,43.5,1.15,1,1.424
